airport,year,month,vsby,tmpf,p01i,sknt,weather_delay,elevation
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,68.0,1026.0
DEN,2024,11,8.9512518363064,36.77410714285714,15.5919,7.919627383015598,903.0,5431.0
LAX,2024,11,9.141407367859049,59.9086691086691,0.21080000000000002,5.131201401817982,44.0,125.0
MIA,2024,11,9.97795292363404,76.61088977423638,4.2741,7.03419908332354,49.0,8.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,173.0,680.0
SFO,2024,11,9.18875384778686,56.38605830164765,30.5155,5.792416374833957,1025.0,13.0
DFW,2024,11,9.57930449533503,62.39407407407407,3.2522,7.1908735508223245,34.0,607.0
ATL,2024,11,8.91866680685522,59.93782857142857,25.4995,6.525028058361392,48.0,1026.0
JFK,2024,11,9.777580428954424,52.72743823146944,24.424,9.468759297828027,128.0,13.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,650.0,680.0
ORD,2024,11,9.136780564263324,46.895085470085476,27.2045,8.04266695766041,451.0,680.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,1065.0,1026.0
DEN,2024,10,9.912723421841099,58.20765306122449,0.9214,7.866581004390191,6489.0,5431.0
DFW,2024,10,9.954743208828523,75.65442536327609,0.0,8.48538785327721,4202.0,607.0
JFK,2024,10,9.989884242361038,61.018972332015814,0.101,7.965317919075145,161.0,13.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,3530.0,125.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,1122.0,680.0
SFO,2024,10,9.667421513124035,62.939195979899495,0.1207,6.010598124010233,3393.0,13.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,23.0,125.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,28.0,1026.0
DEN,2024,10,9.912723421841099,58.20765306122449,0.9214,7.866581004390191,797.0,5431.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,6.0,125.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,963.0,680.0
SFO,2024,10,9.667421513124035,62.939195979899495,0.1207,6.010598124010233,611.0,13.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,10.0,1026.0
DEN,2024,10,9.912723421841099,58.20765306122449,0.9214,7.866581004390191,479.0,5431.0
LAX,2024,10,6.827127077421969,64.0363453815261,0.0,4.974221488966798,29.0,125.0
JFK,2024,10,9.989884242361038,61.018972332015814,0.101,7.965317919075145,401.0,13.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,47.0,680.0
ORD,2024,10,9.934464267299164,59.55979381443299,8.5229,7.171106557377049,149.0,680.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,996.0,1026.0
JFK,2024,10,9.989884242361038,61.018972332015814,0.101,7.965317919075145,407.0,13.0
ATL,2024,10,9.945385966725224,67.57338603425559,0.0002,5.730518112889638,47.0,1026.0
DEN,2024,10,9.912723421841099,58.20765306122449,0.9214,7.866581004390191,4.0,5431.0
DFW,2024,10,9.954743208828523,75.65442536327609,0.0,8.48538785327721,3308.0,607.0
JFK,2024,10,9.989884242361038,61.018972332015814,0.101,7.965317919075145,52.0,13.0
