date,arr_delay,weather_delay,carrier_delay,nas_delay,tmpf,p01i,vsby,arr_flights
2006-11-01,4485.275440976933,227.34871099050204,1210.0440976933514,1489.7727272727273,,,,586197.0
2006-12-01,5777.220451527224,296.46215139442234,1649.453519256308,1562.8034528552457,,,,604758.0
2007-01-01,4867.885997521686,312.9646840148699,1363.2044609665427,1384.3320941759603,,,,621559.0
2007-02-01,5517.718633540373,401.4260869565217,1626.3981366459627,1371.7931677018635,,,,565604.0
2007-03-01,5347.487865588052,251.93528313627877,1585.9247044181704,1433.92034847542,,,,639209.0
2007-04-01,4554.621787025704,194.26193390452877,1272.1126070991431,1349.5257037943697,,,,614648.0
2007-05-01,4258.423697270471,237.13833746898263,1190.6426799007445,1280.3821339950373,,,,631609.0
2007-06-01,6902.879830917875,485.02958937198065,1806.9329710144928,1959.0942028985507,,,,629280.0
2007-07-01,6635.466871165644,428.3680981595092,1845.4337423312884,1724.8269938650308,,,,648560.0
2007-08-01,6148.996945632254,334.25839951130115,1750.7715332926084,1650.3958460598656,,,,653279.0
2007-09-01,3240.183598531212,151.09485924112607,1069.9179926560587,915.1070991432068,,,,600187.0
2007-10-01,4153.2862476664595,179.05724953329184,1187.4872433105165,1324.118855009334,,,,629992.0
2007-11-01,3595.81592039801,126.36504975124379,1073.4944029850747,1090.7002487562188,,,,605149.0
2007-12-01,6883.5220048899755,429.6253056234719,1963.7897310513447,1869.65097799511,,,,616382.0
2008-01-01,5148.715076923077,264.50953846153845,1449.8178461538462,1490.5723076923077,,,,605765.0
2008-02-01,5596.718982630273,337.6712158808933,1487.7766749379653,1595.9330024813896,,,,569236.0
2008-03-01,5541.061365059487,297.23669380087665,1582.9023168440826,1557.3782091421415,,,,616090.0
2008-04-01,4010.289359054138,167.2719352831363,1198.9831985065339,1222.156191661481,,,,598126.0
2008-05-01,3920.082018927445,151.42776025236594,1086.8334384858044,1259.7293375394322,,,,606293.0
2008-06-01,6112.861919504644,354.07554179566563,1537.0074303405572,1998.0916408668731,,,,608665.0
2008-07-01,5481.5171982489055,347.588492808005,1511.6303939962477,1698.5847404627893,,,,627931.0
2008-08-01,4437.819887429643,249.47217010631644,1332.447779862414,1293.776110068793,,,,612279.0
2008-09-01,2313.1400381922344,99.95671546785486,775.7402928071292,749.515595162317,,,,540908.0
2008-10-01,2382.4796195652175,71.39402173913044,777.8899456521739,748.9021739130435,,,,556205.0
2008-11-01,2879.046,92.96133333333333,747.9833333333333,1018.5973333333334,,,,523272.0
2008-12-01,6940.569736842105,492.0782894736842,1711.1907894736842,1914.0763157894737,,,,544956.0
2009-01-01,3728.8976744186048,244.04916943521596,1032.136877076412,1171.1647840531562,,,,532339.0
2009-02-01,2778.0446851726474,102.82058226134056,770.6547054840894,971.5368991198375,,,,488410.0
2009-03-01,4013.3026404874745,193.06364251861882,1060.1631685849695,1256.450914014895,,,,557422.0
2009-04-01,4143.326975476839,240.75204359673023,1028.4611716621253,1374.2990463215258,,,,537793.0
2009-05-01,3609.332182320442,164.65331491712706,952.421270718232,1220.3515193370165,,,,546832.0
2009-06-01,4844.304289544236,277.77412868632706,1317.294235924933,1441.8632707774798,,,,557594.0
2009-07-01,4653.649898028552,224.75594833446635,1368.9537729435758,1281.5384092454112,,,,580134.0
2009-08-01,4029.492929292929,191.1919191919192,1212.857239057239,1120.5400673400673,,,,568301.0
2009-09-01,2291.8423236514523,98.99861687413555,777.2572614107884,663.9764868603042,,,,510852.0
2009-10-01,4042.190243902439,145.02717770034843,1063.9839721254355,1347.3310104529617,,,,531799.0
2009-11-01,1806.8675862068965,49.69172413793103,646.5441379310345,523.6268965517241,,,,509540.0
2009-12-01,4877.6145063801205,296.7938213566152,1337.303559435863,1362.80120886501,,,,529269.0
2010-01-01,3583.8587412587412,180.62727272727273,1104.1132867132867,987.4062937062937,,,,521809.0
2010-02-01,3571.6780487804876,214.7114982578397,1021.4864111498258,967.9574912891986,,,,483270.0
2010-03-01,3903.937588652482,161.02836879432624,1169.5829787234043,1037.5921985815603,,,,549262.0
2010-04-01,2503.7544338335606,83.1718963165075,840.7557980900409,634.6944065484311,,,,529330.0
2010-05-01,3928.4372384937237,193.4281729428173,1108.034170153417,1109.8068340306834,,,,542747.0
2010-06-01,4655.728676964406,218.26527871054398,1359.2928139691069,1156.2437877770315,,,,551687.0
2010-07-01,4760.822690217391,231.01834239130434,1439.8729619565217,1120.6888586956522,,,,570788.0
2010-08-01,3495.543143812709,134.24013377926423,1119.658193979933,832.6581939799331,,,,569217.0
2010-09-01,2421.3433133732533,96.35528942115768,774.8110445775117,674.8809048569527,,,,526107.0
2010-10-01,2902.0968622100954,98.9849931787176,890.9099590723056,750.4733969986357,,,,545519.0
2010-11-01,2673.621088435374,74.81836734693877,855.2795918367347,690.7340136054422,,,,520999.0
2010-12-01,4834.784037558686,219.1723675385647,1446.655935613682,1138.2521797451375,,,,539382.0
2011-01-01,3909.172494172494,176.73970473970473,1195.2952602952603,941.2470862470863,,,,494400.0
2011-02-01,3905.3993808049536,199.91795665634675,1132.423374613003,981.2631578947369,,,,455516.0
2011-03-01,4218.6122291021675,109.22910216718266,1267.0448916408668,1040.6122291021672,,,,526687.0
2011-04-01,4931.2164468580295,191.65865011636927,1343.0519782777346,1346.688906128782,,,,507024.0
2011-05-01,4967.508209538702,269.5691946833464,1319.1391712275215,1329.4339327599687,,,,520612.0
2011-06-01,5045.748091603054,241.01984732824428,1525.2435114503817,1154.706106870229,,,,528588.0
2011-07-01,5076.419847328244,214.18702290076337,1514.7671755725191,1140.1381679389312,,,,547219.0
2011-08-01,4384.050343249428,231.52784134248665,1338.982456140351,1038.5881006864988,,,,541442.0
2011-09-01,2993.6250962278677,103.22863741339492,951.4549653579677,781.2347959969208,,,,487468.0
2011-10-01,2669.9317300232738,81.25058184639255,907.0737005430566,669.9294026377037,,,,504397.0
2011-11-01,2550.0282874617737,58.66437308868502,828.9151376146789,694.0298165137615,,,,478040.0
2011-12-01,2883.311638591118,95.1385911179173,971.8307810107198,680.968606431853,,,,493888.0
2012-01-01,3187.437913907285,178.35844370860926,986.5306291390729,814.9114238410596,,,,486133.0
